Time(s),Ax(m/s²),Ay(m/s²),Az(m/s²),Wx(rad/s),Wy(rad/s),Wz(rad/s),X(m),Y(m),Z(m)
0.35000000000000003,0.052307909574325274,0.027042472037620693,9.8,0.006002091849006762,0.0003439458374243354,0.015,0.001164144266300795,0.000610570324324366,0.6526800000000003
0.36,0.05379102294920179,0.027787641675517706,9.8,0.006149693994959213,0.00035359706516876924,0.015,0.0012638453016323723,0.0006625771595049261,0.6889400000000003
0.37,0.05527317929759898,0.02853132246348511,9.8,0.006296214796800671,0.00036323864650946504,0.015,0.0013690736548937093,0.0007174371269318347,0.7261800000000004
0.38,0.05675435289294063,0.029273517376247105,9.8,0.006441669983382266,0.0003728705910880048,0.015,0.0014799774434443407,0.0007752244460963681,0.7644000000000004
0.39,0.058234518078110406,0.03001422938258429,9.8,0.006586074942852008,0.00038249290853633266,0.015,0.0015967046838027826,0.00083601318819916,0.8036000000000004
0.4,0.05971364926719294,0.0307534614453457,9.8,0.0067294447324242595,0.0003921056084767682,0.015,0.0017194032890879441,0.0008998772764464864,0.8437800000000004
0.41000000000000003,0.06119172094720438,0.031491216521460565,9.8,0.006871794087801539,0.00040170870052201103,0.015,0.001848221066467826,0.0009668904863459588,0.8849400000000004
0.42,0.06266870767981206,0.03222749756195014,9.8,0.007013137432263387,0.00041130219427515494,0.015,0.001983305714615689,0.0010371264460016262,0.9270800000000005
0.43,0.06414458410304306,0.032962307511939626,9.8,0.007153488885436319,0.0004208860993296937,0.015,0.002124804821173856,0.0011106586364084876,0.9702000000000004
0.44,0.06561932493298153,0.033695649310669755,9.8,0.007292862271758186,0.0004304604252695332,0.015,0.0022728658602253217,0.001187560391746416,1.0143000000000004
0.45,0.06709290496545434,0.03442752589150873,9.8,0.007431271128649662,0.00044002518166900154,0.015,0.0024276361897733324,0.0012679048996734952,1.0593800000000004
0.46,0.06856529907770496,0.03515794018196385,9.8,0.007568728714404902,0.0004495803780928542,0.015,0.0025892630492291143,0.0013517652016187707,1.1054400000000006
0.47000000000000003,0.07003648223005543,0.03588689510369325,9.8,0.007705248015812899,0.0004591260240962891,0.015,0.0027578935569079013,0.0014392141930744157,1.1524800000000006
0.48,0.07150642946755591,0.03661439357251752,9.8,0.007840841755520474,0.0004686621292249527,0.015,0.0029336747075334436,0.0015303246238873125,1.2005000000000008
0.49,0.07297511592162198,0.037340438498431626,9.8,0.007975522399147356,0.0004781887030149512,0.015,0.0031167533697511484,0.0016251690985500523,1.2495000000000007
0.5,0.07444251681165898,0.038065032785616196,9.8,0.008109302162163289,0.00048770575499285985,0.015,0.0033072762836500193,0.0017238200764913537,1.2994800000000006
0.51,0.07590860744667373,0.038788179332449296,9.8,0.00824219301653666,0.0004972132946757301,0.015,0.003505390058293557,0.0018263498723659,1.3504400000000008
0.52,0.07737336322687292,0.03950988103151812,9.8,0.0083742066971637,0.0005067113315711047,0.015,0.0037112411692597825,0.0019328306563435981,1.4023800000000008
0.53,0.07883675964524833,0.040230140769630385,9.8,0.008505354708086882,0.000516199875177018,0.015,0.003924975956190532,0.0020433344543982594,1.455300000000001
0.54,0.08029877228914842,0.04094896142782605,9.8,0.008635648328510756,0.0005256789349820168,0.015,0.004146740620350197,0.0021579331485957034,1.509200000000001
0.55,0.08175937684183625,0.04166634588138871,9.8,0.008765098618623107,0.0005351485204651618,0.015,0.0043766812221940465,0.002276698477381286,1.564080000000001
0.56,0.0832185490840334,0.04238229699985712,9.8,0.008893716425228916,0.0005446086410960372,0.015,0.0046149436789462974,0.0023997020358668547,1.6199400000000013
0.5700000000000001,0.08467626489544985,0.043096817647036684,9.8,0.009021512387204335,0.0005540593063347666,0.015,0.004861673762188094,0.0025270152761171266,1.676780000000001
0.58,0.08613250025629952,0.04380991068101095,9.8,0.009148496940777509,0.0005635005256320147,0.015,0.005117017095455522,0.0026587095074355,1.7346000000000013
0.59,0.08758723124880124,0.044521578954153054,9.8,0.009274680324642803,0.0005729323084290028,0.015,0.005381119151847829,0.002794855896649289,1.7934000000000012
0.6,0.08904043405866509,0.04523182531313701,9.8,0.009400072584914711,0.0005823546641575128,0.015,0.005654125251646002,0.002935525468394391,1.8531800000000014
0.61,0.09049208497656384,0.04594065259894915,9.8,0.009524683579927432,0.0005917676022399032,0.015,0.005936180559941832,0.003080789105399388,1.9139400000000013
0.62,0.09194216039958933,0.04664806364689964,9.8,0.009648522984885855,0.0006011711320891111,0.015,0.006227430084277621,0.0032307175487690755,1.9756800000000012
0.63,0.09339063683269369,0.04735406128663358,9.8,0.009771600296373419,0.0006105652631086678,0.015,0.006528018672296679,0.003385381398267426,2.038400000000001
0.64,0.09483749089011506,0.04805864834214249,9.8,0.009893924836722141,0.0006199500046927054,0.015,0.006838091009404749,0.0035448511125999904,2.1021000000000014
0.65,0.09628269929678783,0.04876182763177548,9.8,0.010015505758249785,0.0006293253662259657,0.015,0.007157791616442497,0.003709197009695733,2.166780000000001
0.66,0.0977262388897371,0.049463601968250705,9.8,0.010136352047369037,0.0006386913570838116,0.015,0.0074872648473692195,0.0038784892669882997,2.2324400000000013
0.67,0.09916808661945724,0.050163974158666406,9.8,0.010256472528573278,0.0006480479866322341,0.015,0.007826654886957888,0.004052797921696734,2.299080000000001
0.68,0.1006082195512745,0.050862947004512285,9.8,0.01037587586830335,0.0006573952642278647,0.015,0.008176105748501684,0.004232192871105619,2.366700000000001
0.6900000000000001,0.10204661486669331,0.051560523301680664,9.8,0.010494570578699645,0.0006667331992179804,0.015,0.008535761271532147,0.004416743872844672,2.435300000000001
0.7000000000000001,0.1034832498647263,0.05225670584047766,9.8,0.010612565021243407,0.0006760618009405173,0.015,0.008905765119549085,0.004606520545167773,2.504880000000001
0.71,0.10491810196320782,0.05295149740563439,9.8,0.01072986741029137,0.0006853810787240789,0.015,0.009286260777762343,0.0048015923672314375,2.575440000000001
0.72,0.10635114870009087,0.053644900776318005,9.8,0.010846485816507235,0.0006946910418879427,0.015,0.009677391550845611,0.005002028679372735,2.646980000000001
0.73,0.10778236773472712,0.05433691872614288,9.8,0.010962428170193753,0.0007039916997420725,0.015,0.010079300560702349,0.005207898683386645,2.719500000000001
0.74,0.10921173684913023,0.0550275540231818,9.8,0.011077702264528753,0.0007132830615871278,0.015,0.010492130744244002,0.005419271442802873,2.7930000000000006
0.75,0.11063923394922197,0.05571680942997688,9.8,0.011192315758708453,0.0007225651367144714,0.015,0.010916024851180577,0.0056362158831621,2.8674800000000005
0.76,0.11206483706606139,0.05640468770355063,9.8,0.01130627618100121,0.0007318379344061776,0.015,0.011351125441823758,0.005858800792291682,2.9429400000000006
0.77,0.11348852435705643,0.05709119159541705,9.8,0.011419590931714756,0.0007411014639350466,0.015,0.011797574884902644,0.006087094820580805,3.0193800000000004
0.78,0.11491027410715843,0.05777632385159262,9.8,0.011532267286079876,0.0007503557345646072,0.015,0.012255515355392247,0.0063211664812550875,3.096800000000001
0.79,0.11633006473003892,0.058460087212607315,9.8,0.011644312397053274,0.0007596007555491324,0.015,0.012725088832354852,0.00656108415065063,3.1752000000000002
0.8,0.11774787476924897,0.05914248441351547,9.8,0.011755733298042382,0.0007688365361336424,0.015,0.013206437096794383,0.006806916068487525,3.2545800000000003
0.81,0.11916368289936066,0.05982351818390681,9.8,0.011866536905554687,0.0007780630855539195,0.015,0.013699701729523851,0.007058730338142811,3.3349400000000005
0.8200000000000001,0.1205774679270909,0.0605031912479173,9.8,0.01197673002177408,0.0007872804130365141,0.015,0.014205024109046028,0.0073165949269228875,3.4162800000000004
0.8300000000000001,0.12198920879240714,0.06118150632424016,9.8,0.012086319337066592,0.0007964885277987532,0.015,0.014722545409447445,0.007580577666335389,3.4986
0.84,0.12339888456961529,0.061858466126136505,9.8,0.012195311432417887,0.0008056874390487534,0.015,0.015252406598305823,0.007850746252360503,3.5819
0.85,0.1248064744684293,0.06253407336144652,9.8,0.012303712781804668,0.0008148771559854263,0.015,0.015794748434611046,0.008127168245721763,3.66618
0.86,0.12621195783502284,0.06320833073260004,9.8,0.012411529754502198,0.0008240576877984907,0.015,0.016349711466699772,0.008409911072156284,3.75144
0.87,0.1276153141530625,0.06388124093662743,9.8,0.012518768617329906,0.0008332290436684775,0.015,0.016917436030203802,0.008699042022684466,3.8376799999999998
0.88,0.1290165230447226,0.06455280666517042,9.8,0.012625435536837157,0.0008423912327667438,0.015,0.017498062246012303,0.008994628253879165,3.9248999999999996
0.89,0.13041556427168194,0.06522303060449279,9.8,0.01273153658143102,0.0008515442642554804,0.015,0.018091730018247973,0.009296736788134313,4.0131
0.9,0.13181241773610167,0.06589191543549121,9.8,0.012837077723447896,0.0008606881472877181,0.015,0.018698579032257256,0.009605434513933012,4.1022799999999995
0.91,0.13320706348158473,0.06655946383370588,9.8,0.012942064841170768,0.0008698228910073425,0.015,0.019318748752614693,0.00992078818611508,4.1924399999999995
0.92,0.1345994816941169,0.0672256784693313,9.8,0.013046503720793806,0.0008789485045490964,0.015,0.019952378421141545,0.010242864426144081,4.283579999999999
0.93,0.13598965270298888,0.06789056200722694,9.8,0.013150400058335883,0.0008880649970385945,0.015,0.0205996070549387,0.010571729722373803,4.375699999999999
0.9400000000000001,0.13737755698169976,0.06855411710692776,9.8,0.013253759461504738,0.0008971723775923313,0.015,0.02126057344443402,0.01090745043031422,4.468799999999999
0.9500000000000001,0.13876317514884193,0.06921634642265509,9.8,0.01335658745151311,0.0009062706553176858,0.015,0.021935416151444224,0.011250092772896902,4.562879999999999
0.96,0.14014648796896675,0.06987725260332707,9.8,0.013458889464848516,0.0009153598393129381,0.015,0.02262427350725132,0.011599722840739917,4.657939999999998
0.97,0.14152747635343182,0.07053683829256925,9.8,0.013560670854997943,0.000924439938667273,0.015,0.023327283610693767,0.011956406592412188,4.753979999999998
0.98,0.142906121361229,0.0711951061287254,9.8,0.013661936894128876,0.0009335109624607907,0.015,0.024044584326272333,0.012320209854697332,4.850999999999998
0.99,0.14428240419979377,0.07185205874486758,9.8,0.013762692774728021,0.000942572919764515,0.015,0.024776313282270878,0.012691198322856964,4.948999999999997
1.0,0.14565630622579545,0.07250769876880728,9.8,0.013862943611198907,0.0009516258196404048,0.015,0.025522607868892006,0.013069437560893477,5.047979999999997
1.01,0.14702780894590856,0.07316202882310537,9.8,0.013962694441419688,0.0009606696711413587,0.015,0.026283605236407725,0.0134549930018123,5.1479399999999975
1.02,0.14839689401756512,0.07381505152508293,9.8,0.014061950228262269,0.0009697044833112323,0.015,0.027059442293325197,0.013847929947883633,5.248879999999997
1.03,0.149763543249688,0.07446676948683173,9.8,0.014160715861073921,0.0009787302651848352,0.015,0.02785025570456764,0.014248313570903646,5.350799999999997
1.04,0.15112773860340503,0.07511718531522443,9.8,0.014258996157122502,0.000987747025787953,0.015,0.028656181889670423,0.014656208912455183,5.453699999999997
1.05,0.15248946219274448,0.07576630161192517,9.8,0.014356795863006339,0.000996754774137344,0.015,0.029477357020992485,0.015071680884167911,5.557579999999997
1.06,0.15384869628531103,0.07641412097340008,9.8,0.014454119656029796,0.0010057535192407596,0.015,0.030313917021943075,0.015494794267977981,5.662439999999997
1.07,0.155205423302943,0.07706064599092742,9.8,0.014550972145545555,0.001014743270096945,0.015,0.03116599756522396,0.015925613716387142,5.768279999999996
1.08,0.15655962582235045,0.07770587925060815,9.8,0.014647357874264534,0.0010237240356956512,0.015,0.032033734071087075,0.016364203752721365,5.875099999999996
1.09,0.15791128657573408,0.07834982333337615,9.8,0.014743281319534394,0.0010326958250176455,0.015,0.03291726170560777,0.016810628771388926,5.982899999999996
1.1,0.15926038845138543,0.0789924808150086,9.8,0.014838746894587546,0.001041658647034718,0.015,0.0338167153789736,0.017264953038137985,6.091679999999996
1.11,0.1606069144942677,0.07963385426613634,9.8,0.014933758949759504,0.0010506125107096898,0.015,0.03473222974378885,0.01772724069031366,6.201439999999995
1.12,0.16195084790657785,0.08027394625225398,9.8,0.015028321773678424,0.0010595574249964278,0.015,0.03566393919339477,0.01819755573711456,6.312179999999995
1.1300000000000001,0.1632921720482895,0.08091275933373031,9.8,0.015122439594426676,0.0010684933988398448,0.015,0.03661197786020551,0.01867596205984883,6.423899999999995
1.1400000000000001,0.1646308704376769,0.08155029606581854,9.8,0.015216116580675204,0.001077420441175917,0.015,0.03757647961406002,0.019162523412189686,6.5365999999999955
1.1500000000000001,0.16596692675182026,0.08218655899866643,9.8,0.015309356842791432,0.0010863385609316868,0.015,0.038557578060589716,0.019657303420430407,6.650279999999995
1.16,0.16730032482709162,0.08282155067732654,9.8,0.015402164433921473,0.0010952477670252735,0.015,0.039555406539602114,0.020160365583738866,6.764939999999995
1.17,0.1686310486596224,0.08345527364176647,9.8,0.015494543351047363,0.0011041480683658866,0.015,0.040570098123480475,0.020671773274411494,6.880579999999995
1.18,0.1699590824057517,0.08408773042687892,9.8,0.015586497536019952,0.0011130394738538263,0.015,0.04160178561559941,0.021191589738126813,6.997199999999993
1.19,0.17128441038245606,0.08471892356249185,9.8,0.01567803087656819,0.001121921992380499,0.015,0.04265060154875659,0.02171987809419838,7.114799999999994
1.2,0.17260701706776044,0.08534885557337862,9.8,0.015769147207285405,0.0011307956328284253,0.015,0.04371667818362055,0.022256701335827286,7.233379999999993
1.21,0.17392688710113027,0.08597752897926819,9.8,0.01585985031059323,0.0011396604040712444,0.015,0.044800147507194625,0.022802122330354117,7.352939999999993
1.22,0.17524400528384518,0.086604946294855,9.8,0.015950143917683762,0.0011485163149737288,0.015,0.04590114123129708,0.023356203819510434,7.473479999999993
1.23,0.17655835657935387,0.0872311100298091,9.8,0.016040031709440548,0.001157363374391791,0.015,0.047019790791057475,0.02391900841966973,7.594999999999992
1.24,0.17786992611361058,0.0878560226887863,9.8,0.016129517317338967,0.0011662015911724911,0.015,0.048156227343429225,0.024490598622097907,7.717499999999992
1.25,0.17917869917539297,0.08847968677143805,9.8,0.016218604324326577,0.0011750309741540455,0.015,0.04931058176571852,0.02507103679320323,7.840979999999992
1.26,0.18048466121660178,0.08910210477242156,9.8,0.01630729626568389,0.0011838515321658395,0.015,0.05048298465412948,0.025660385174785794,7.965439999999992
1.27,0.18178779785254184,0.0897232791814096,9.8,0.016395596629866227,0.0011926632740284304,0.015,0.05167356632232569,0.0262587058842865,8.090879999999991
1.28,0.18308809486218508,0.09034321248310065,9.8,0.01648350885932699,0.0012014662085535622,0.015,0.052882456800008124,0.026866060915035513,8.217299999999991
1.29,0.1843855381884151,0.0909619071572288,9.8,0.016571036351322965,0.0012102603445441685,0.015,0.05410978583150939,0.02748251213650025,8.34469999999999
1.3,0.18568011393825384,0.0915793656785735,9.8,0.01665818245870208,0.001219045690794387,0.015,0.05535568287440449,0.028108121294532846,8.47307999999999
1.31,0.18697180838306998,0.09219559051696967,9.8,0.016744950490674045,0.0012278222560895646,0.015,0.05662027709813789,0.028742950011617134,8.60243999999999
1.32,0.18826060795876948,0.09281058413731756,9.8,0.016831343713564373,0.0012365900492062676,0.015,0.05790369738266717,0.02938705978711516,8.73277999999999
1.33,0.18954649926596828,0.09342434899959234,9.8,0.016917365351552187,0.001245349078912289,0.015,0.05920607231712305,0.030040511997513144,8.86409999999999
1.34,0.190829469070147,0.09403688755885442,9.8,0.017003018587392203,0.00125409935396666,0.015,0.06052753019848594,0.03070336789666701,8.99639999999999
1.35,0.19210950430178816,0.09464820226525875,9.8,0.017088306563121353,0.0012628408831196558,0.015,0.061868199030279014,0.031375688616047406,9.12967999999999
1.36,0.1933865920564957,0.09525829556406498,9.8,0.017173232380750376,0.001271573675112807,0.015,0.06322820652127774,0.032057535164984205,9.26393999999999
1.37,0.19466071959509681,0.09586716989564717,9.8,0.017257799102940796,0.0012802977386789061,0.015,0.06460768008423597,0.03274896843091057,9.399179999999989
1.3800000000000001,0.19593187434372664,0.09647482769550347,9.8,0.01734200975366767,0.0012890130825420165,0.015,0.06600674683462857,0.033450049179606485,9.535399999999989
1.3900000000000001,0.1972000438938955,0.0970812713942658,9.8,0.017425867318868388,0.0012977197154174847,0.015,0.06742553358941054,0.03416083805544183,9.672599999999987
1.4000000000000001,0.19846521600253877,0.09768650341770982,9.8,0.017509374747078,0.0013064176460119415,0.015,0.06886416686579279,0.03488139558161894,9.810779999999987
1.41,0.19972737859204992,0.09829052618676443,9.8,0.01759253495005127,0.0013151068830233215,0.015,0.07032277288003425,0.03561178216041474,9.949939999999987
1.42,0.2009865197502963,0.0988933421175215,9.8,0.0176753508033719,0.0013237874351408596,0.015,0.07180147754625073,0.03635205807342228,10.090079999999986
1.43,0.20224262773061824,0.0994949536212456,9.8,0.01775782514704914,0.00133245931104511,0.015,0.07330040647524026,0.037102283481791946,10.231199999999987
1.44,0.20349569095181114,0.1000953631043835,9.8,0.01783996078610221,0.0013411225194079502,0.015,0.07481968497332499,0.03786251842647205,10.373299999999986
1.45,0.20474569799809103,0.1006945729685739,9.8,0.017921760491132713,0.001349777068892587,0.015,0.07635943804120952,0.038632822828449015,10.516379999999986
1.46,0.20599263761904374,0.10129258561065715,9.8,0.01800322699888543,0.001358422968153572,0.015,0.07791979037285596,0.03941325648898704,10.660439999999985
1.47,0.20723649872955724,0.10188940342268454,9.8,0.018084363012797717,0.0013670602258368059,0.015,0.07950086635437535,0.040203879089867334,10.805479999999985
1.48,0.20847727040973799,0.10248502879192817,9.8,0.018165171203537816,0.001375688850579545,0.015,0.0811027900629357,0.04100475019362682,10.951499999999983
1.49,0.20971494190481102,0.10307946410089026,9.8,0.018245654209532326,0.0013843088510104174,0.015,0.08272568526568655,0.04181592924379641,11.098499999999984
1.5,0.21094950262500395,0.10367271172731285,9.8,0.018325814637483104,0.001392920235749422,0.015,0.0843696754186999,0.04263747556513872,11.246479999999984
1.51,0.2121809421454151,0.10426477404418728,9.8,0.018405655062873852,0.001401523013407945,0.015,0.08603488366592778,0.04346944836388545,11.395439999999983
1.52,0.2134092502058658,0.10485565341976355,9.8,0.018485178030466638,0.0014101171925887657,0.015,0.08772143283817625,0.04431190672797415,11.545379999999982
1.53,0.2146344167107368,0.10544535221755998,9.8,0.01856438605478858,0.001418702781886062,0.015,0.0894294454520958,0.045164909627284616,11.696299999999981
1.54,0.21585643172878974,0.10603387279637251,9.8,0.018643281620608906,0.0014272797898854262,0.015,0.09115904370918822,0.04602851591387472,11.84819999999998
1.55,0.2170752854929725,0.1066212175102843,9.8,0.0187218671834067,0.001435848225163865,0.015,0.09291034949482993,0.04690278432221584,12.001079999999982
1.56,0.2182909684002099,0.10720738870867495,9.8,0.018800145169829422,0.0014444080962898154,0.015,0.09468348437731168,0.047787773469427836,12.154939999999982
1.57,0.2195034710111788,0.10779238873623008,9.8,0.018878117978142567,0.0014529594118231493,0.015,0.09647856960689455,0.04868354185551345,12.30977999999998
1.58,0.2207127840500687,0.1083762199329505,9.8,0.01895578797867052,0.0014615021803151829,0.015,0.09829572611488242,0.049590147863592365,12.465599999999979
1.59,0.22191889840432694,0.10895888463416181,9.8,0.01903315751422893,0.001470036410308685,0.015,0.10013507451271073,0.05050764976013469,12.62239999999998
1.6,0.2231218051243898,0.10954038517052367,9.8,0.019110228900548726,0.0014785621103378865,0.015,0.10199673509105146,0.05143610569519408,12.78017999999998
1.61,0.22432149542339866,0.1101207238680389,9.8,0.01918700442669204,0.001487079288928489,0.015,0.10388082781893454,0.05237557370264025,12.93893999999998
1.62,0.22551796067690177,0.11069990304806306,9.8,0.019263486355460113,0.0014955879545976703,0.015,0.10578747234288532,0.05332611170039124,13.098679999999979
1.6300000000000001,0.22671119242254212,0.1112779250273137,9.8,0.019339676923793465,0.0015040881158540976,0.015,0.10771678798607834,0.05428777749064496,13.259399999999978
1.6400000000000001,0.22790118235973078,0.1118547921178795,9.8,0.019415578343164496,0.0015125797811979325,0.015,0.10966889374750734,0.055260628760110474,13.421099999999976
1.6500000000000001,0.2290879223493065,0.11243050662722953,9.8,0.019491192799962618,0.0015210629591208425,0.015,0.11164390830117127,0.0562447230802387,13.583779999999976
1.6600000000000001,0.23027140441318159,0.1130050708582227,9.8,0.019566522455872155,0.0015295376581060038,0.015,0.11364194999527652,0.05724011790745276,13.747439999999976
1.67,0.23145162073397405,0.11357848710911661,9.8,0.019641569448243162,0.0015380038866281177,0.015,0.11566313685145517,0.05824687058337772,13.912079999999976
1.68,0.2326285636546261,0.1141507576735771,9.8,0.019716335890455305,0.0015464616531534125,0.015,0.11770758656399927,0.05926503833507004,14.077699999999975
1.69,0.23380222567800976,0.11472188484068711,9.8,0.019790823872274956,0.0015549109661396566,0.015,0.11977541649911118,0.06029467827524644,14.244299999999974
1.7,0.2349725994665188,0.11529187089495614,9.8,0.01986503546020567,0.001563351834036163,0.015,0.12186674369416974,0.06133584740251233,14.411879999999973
1.71,0.23613967784164794,0.1158607181163291,9.8,0.01993897269783219,0.0015717842652838011,0.015,0.12398168485701247,0.06238860260158985,14.580439999999975
1.72,0.23730345378355924,0.11642842878019573,9.8,0.02001263760615812,0.001580208268315001,0.015,0.12612035636523353,0.06345300064354539,14.749979999999974
1.73,0.23846392043063566,0.11699500515739931,9.8,0.02008603218393737,0.0015886238515537675,0.015,0.12828287426549767,0.06452909818601668,14.920499999999972
1.74,0.23962107107902203,0.11756044951424625,9.8,0.02015915840799958,0.001597031023415686,0.015,0.1304693542728697,0.06561695177343937,15.09199999999997
1.75,0.24077489918215397,0.11812476411251463,9.8,0.0202320182335696,0.0016054297923079263,0.015,0.13267991177015998,0.06671661783727334,15.264479999999972
1.76,0.2419253983502742,0.11868795120946363,9.8,0.020304613594581168,0.0016138201666292607,0.015,0.13491466180728526,0.06782815269622824,15.437939999999971
1.77,0.2430725623499371,0.1192500130578424,9.8,0.020376946403984943,0.0016222021547700617,0.015,0.13717371910064555,0.06895161255648895,15.612379999999972
1.78,0.24421638510350122,0.11981095190589906,9.8,0.020449018554050916,0.0016305757651123198,0.015,0.1394571980325162,0.07008705351194021,15.78779999999997
1.79,0.24535686068861023,0.12037076999738977,9.8,0.020520831916665486,0.001638941006029645,0.015,0.1417652126504557,0.07123453154439123,15.96419999999997
1.8,0.24649398333766218,0.1209294695715876,9.8,0.020592388343623164,0.00164729788588728,0.015,0.14409787666672894,0.07239410252379941,16.14157999999997
